"";"animal";"Class";"Day";"Rate"
"40";"d1_s40";"within";"Day 1";0,054203957
"41";"d1_s41";"within";"Day 1";0,079044478
"42";"d1_s42";"within";"Day 1";0,184158118
"43";"d1_s43";"within";"Day 1";0,37395412
"44";"d1_s44";"within";"Day 1";0,122017706
"45";"d1_s45";"within";"Day 1";0,123403021
"46";"d1_s46";"within";"Day 1";0,153904692
"47";"d1_s47";"within";"Day 1";0,057138004
"48";"d1_s48";"within";"Day 1";0,037983875
"49";"d1_s49";"within";"Day 1";0,046175158
"50";"d1_s50";"within";"Day 1";0,114326351
"51";"d1_s51";"within";"Day 1";0,42020072
"52";"d1_s52";"within";"Day 1";0,350235715
"53";"d1_s53";"within";"Day 1";0,426077993
"54";"d1_s54";"within";"Day 1";0,108370747
"55";"d1_s55";"within";"Day 1";0,173629559
"56";"d1_s56";"within";"Day 1";0,16008853
"57";"d1_s57";"within";"Day 1";0,118127827
"58";"d1_s58";"within";"Day 1";0,035799928
"59";"d1_s59";"within";"Day 1";0,093454449
"60";"d1_s60";"within";"Day 1";0,042213142
"61";"d1_s61";"within";"Day 1";0,236850248
"62";"d1_s62";"within";"Day 1";0,342423904
"63";"d1_s63";"within";"Day 1";0,172360204
"64";"d1_s64";"within";"Day 1";0,397991634
"65";"d1_s65";"within";"Day 1";0,073956311
"66";"d1_s66";"within";"Day 1";0,084155078
"67";"d1_s67";"within";"Day 1";0,230760532
"68";"d1_s68";"within";"Day 1";0,087426689
"69";"d1_s69";"within";"Day 1";0,13184681
"70";"d1_s70";"within";"Day 1";0,379142151
"71";"d1_s71";"within";"Day 1";0,050680519
"72";"d1_s72";"within";"Day 1";0,108375187
"73";"d1_s73";"within";"Day 1";0,050377957
"74";"d1_s74";"within";"Day 1";0,086549616
"75";"d1_s75";"within";"Day 1";0,10745129
"76";"d1_s76";"within";"Day 1";0,065538786
"77";"d1_s77";"within";"Day 1";0,293314706
"78";"d1_s78";"within";"Day 1";0,089483131
"79";"d1_s79";"within";"Day 1";0,077777101
"80";"d1_s80";"within";"Day 1";0,321890685
"81";"d1_s1";"across";"Day 1";0,199933701
"82";"d1_s2";"across";"Day 1";0,043225258
"83";"d1_s3";"across";"Day 1";0,105810568
"84";"d1_s4";"across";"Day 1";0,237464931
"85";"d1_s5";"across";"Day 1";0,127228454
"86";"d1_s6";"across";"Day 1";0,103111862
"87";"d1_s7";"across";"Day 1";0,077491897
"88";"d1_s8";"across";"Day 1";0,120755994
"89";"d1_s9";"across";"Day 1";0,189648196
"90";"d1_s10";"across";"Day 1";0,16850024
"91";"d1_s11";"across";"Day 1";0,256790986
"92";"d1_s12";"across";"Day 1";0,073569352
"93";"d1_s13";"across";"Day 1";0,065850657
"94";"d1_s14";"across";"Day 1";0,124228286
"95";"d1_s15";"across";"Day 1";0,429127978
"96";"d1_s16";"across";"Day 1";0,164089599
"97";"d1_s17";"across";"Day 1";0,062146473
"98";"d1_s18";"across";"Day 1";0,105947042
"99";"d1_s19";"across";"Day 1";0,165151591
"100";"d1_s20";"across";"Day 1";0,058997303
"101";"d1_s21";"across";"Day 1";0,088420858
"102";"d1_s22";"across";"Day 1";0,247205878
"103";"d1_s23";"across";"Day 1";0,131447292
"104";"d1_s24";"across";"Day 1";0,271907729
"105";"d1_s25";"across";"Day 1";0,113251591
"106";"d1_s26";"across";"Day 1";0,115718741
"107";"d1_s27";"across";"Day 1";0,075090546
"108";"d1_s28";"across";"Day 1";0,141889723
"109";"d1_s29";"across";"Day 1";0,057668766
"110";"d1_s30";"across";"Day 1";0,29070954
"111";"d1_s31";"across";"Day 1";0,062558883
"112";"d1_s32";"across";"Day 1";0,07341831
"113";"d1_s33";"across";"Day 1";0,252685255
"114";"d1_s34";"across";"Day 1";0,210354687
"115";"d1_s35";"across";"Day 1";0,307708766
"116";"d1_s36";"across";"Day 1";0,566541841
"117";"d1_s37";"across";"Day 1";0,491902928
"118";"d1_s38";"across";"Day 1";0,155858675
"119";"d1_s39";"across";"Day 1";0,325677724
"120";"d1_s40";"across";"Day 1";0,045335611
"121";"d1_s41";"across";"Day 1";0,06589181
