"";"Group";"Subj";"Day";"AxisMM";"z";"Perc";"N";"Inter";"BF";"InterBF";"logBF";"ecdfr"
"63";"Context B";"CMG159";"Session 2";"C/G";4;0,666666666666667;6;"Context B.Session 2";1,13942247619048;"Anecdotal/Weak";0,130521534208438;0,285714285714286
"64";"Context B";"CMG161";"Session 2";"C/G";3;0,75;4;"Context B.Session 2";1,46208;"Anecdotal/Weak";0,37986007939277;0,5
"65";"Context B";"CMG162";"Session 2";"C/G";4;0,666666666666667;6;"Context B.Session 2";1,13942247619048;"Anecdotal/Weak";0,130521534208438;0,285714285714286
"66";"Context B";"CMG169";"Session 2";"C/G";3;1;3;"Context B.Session 2";2,968;"Anecdotal/Weak";1,08788832530513;0,642857142857143
"67";"Context B";"HG1";"Session 2";"C/G";2;0,666666666666667;3;"Context B.Session 2";1,05866666666667;"Anecdotal/Weak";0,0570102547167796;0,142857142857143
"68";"Context B";"JJ9";"Session 2";"C/G";5;0,833333333333333;6;"Context B.Session 2";3,00116419047619;"Moderate/Positive";1,09900027688301;0,928571428571429
"69";"Context B";"K1";"Session 2";"C/G";5;0,833333333333333;6;"Context B.Session 2";3,00116419047619;"Moderate/Positive";1,09900027688301;0,928571428571429
"70";"Context B";"MG1";"Session 2";"C/G";5;0,833333333333333;6;"Context B.Session 2";3,00116419047619;"Moderate/Positive";1,09900027688301;0,928571428571429
"71";"Context B";"AK42";"Session 3";"C/G";4;0,666666666666667;6;"Context B.Session 3";1,13942247619048;"Anecdotal/Weak";0,130521534208438;0,428571428571429
"72";"Context B";"AK74";"Session 3";"C/G";2;0,333333333333333;6;"Context B.Session 3";0,344969142857143;"Contray Anecdotal/Weak";-1,06430030694465;0,142857142857143
"73";"Context B";"CMG087";"Session 3";"C/G";5;0,833333333333333;6;"Context B.Session 3";3,00116419047619;"Moderate/Positive";1,09900027688301;0,857142857142857
"74";"Context B";"CMG089";"Session 3";"C/G";4;0,666666666666667;6;"Context B.Session 3";1,13942247619048;"Anecdotal/Weak";0,130521534208438;0,428571428571429
"75";"Context B";"CMG129";"Session 3";"C/G";2;0,333333333333333;6;"Context B.Session 3";0,344969142857143;"Contray Anecdotal/Weak";-1,06430030694465;0,142857142857143
"76";"Context B";"CMG154";"Session 3";"C/G";3;1;3;"Context B.Session 3";2,968;"Anecdotal/Weak";1,08788832530513;0,5
"77";"Context B";"CMG159";"Session 3";"C/G";4;0,666666666666667;6;"Context B.Session 3";1,13942247619048;"Anecdotal/Weak";0,130521534208438;0,428571428571429
"78";"Context B";"CMG161";"Session 3";"C/G";5;0,833333333333333;6;"Context B.Session 3";3,00116419047619;"Moderate/Positive";1,09900027688301;0,857142857142857
"79";"Context B";"CMG162";"Session 3";"C/G";5;0,833333333333333;6;"Context B.Session 3";3,00116419047619;"Moderate/Positive";1,09900027688301;0,857142857142857
"80";"Context B";"CMG169";"Session 3";"C/G";5;0,833333333333333;6;"Context B.Session 3";3,00116419047619;"Moderate/Positive";1,09900027688301;0,857142857142857
"81";"Context B";"HG1";"Session 3";"C/G";4;1;4;"Context B.Session 3";4,47392;"Moderate/Positive";1,49826498181732;0,928571428571429
"82";"Context B";"JJ9";"Session 3";"C/G";6;1;6;"Context B.Session 3";10,7539291428571;"Strong/Positive";2,37527118945534;1
"83";"Context B";"K1";"Session 3";"C/G";3;0,6;5;"Context B.Session 3";0,853866666666667;"Contray Anecdotal/Weak";-0,157980225407796;0,214285714285714
"84";"Context B";"MG1";"Session 3";"C/G";5;0,833333333333333;6;"Context B.Session 3";3,00116419047619;"Moderate/Positive";1,09900027688301;0,857142857142857
