"";"Subject";"Context";"Day";"CellType";"BMROrder";"bmr";"N";"Ntt";"Perc";"animal";"trialA";"trialB";"contextA";"contextB";"isCoherent";"rot1";"rot2";"rot3";"rot4"
"53";"CMG129_CA1_TA1_TB5";"within";"3";"FS";"C_1";"1";4;8;0,5;"CMG129_CA1";1;5;1;1;0;0,5;0,25;0,125;0,125
"54";"CMG129_CA1_TA1_TB5";"within";"3";"FS";"C_3";"2";1;8;0,125;"CMG129_CA1";1;5;1;1;0;0,5;0,25;0,125;0,125
"55";"CMG129_CA1_TA1_TB5";"within";"3";"FS";"C_2";"3";2;8;0,25;"CMG129_CA1";1;5;1;1;0;0,5;0,25;0,125;0,125
"56";"CMG129_CA1_TA1_TB5";"within";"3";"FS";"C_4";"4";1;8;0,125;"CMG129_CA1";1;5;1;1;0;0,5;0,25;0,125;0,125
"57";"CMG129_CA1_TA1_TB6";"across";"3";"FI";"C_3";"1";25;122;0,204918032786885;"CMG129_CA1";1;6;1;2;1;0,328;0,279;0,205;0,189
"58";"CMG129_CA1_TA1_TB6";"across";"3";"FI";"C_4";"2";23;122;0,188524590163934;"CMG129_CA1";1;6;1;2;1;0,328;0,279;0,205;0,189
"59";"CMG129_CA1_TA1_TB6";"across";"3";"FI";"C_2";"3";34;122;0,278688524590164;"CMG129_CA1";1;6;1;2;1;0,328;0,279;0,205;0,189
"60";"CMG129_CA1_TA1_TB6";"across";"3";"FI";"C_1";"4";40;122;0,327868852459016;"CMG129_CA1";1;6;1;2;1;0,328;0,279;0,205;0,189
"61";"CMG129_CA1_TA1_TB6";"across";"3";"FS";"C_3";"1";1;7;0,142857142857143;"CMG129_CA1";1;6;1;2;0;0,429;0,286;0,143;0,143
"62";"CMG129_CA1_TA1_TB6";"across";"3";"FS";"C_4";"2";1;7;0,142857142857143;"CMG129_CA1";1;6;1;2;0;0,429;0,286;0,143;0,143
"63";"CMG129_CA1_TA1_TB6";"across";"3";"FS";"C_1";"3";3;7;0,428571428571429;"CMG129_CA1";1;6;1;2;0;0,429;0,286;0,143;0,143
"64";"CMG129_CA1_TA1_TB6";"across";"3";"FS";"C_2";"4";2;7;0,285714285714286;"CMG129_CA1";1;6;1;2;0;0,429;0,286;0,143;0,143
"65";"CMG129_CA1_TA1_TB7";"within";"3";"FI";"C_1";"1";39;123;0,317073170731707;"CMG129_CA1";1;7;1;1;1;0,317;0,309;0,203;0,171
"66";"CMG129_CA1_TA1_TB7";"within";"3";"FI";"C_3";"2";25;123;0,203252032520325;"CMG129_CA1";1;7;1;1;1;0,317;0,309;0,203;0,171
"67";"CMG129_CA1_TA1_TB7";"within";"3";"FI";"C_2";"3";38;123;0,308943089430894;"CMG129_CA1";1;7;1;1;1;0,317;0,309;0,203;0,171
