"";"Subject";"Day";"Context";"Rate"
"109";"MG1_d11_TT3_2.t";"Day 3";"Within";31,60897423
"110";"MG1_d11_TT3_4.t";"Day 3";"Within";38,08845207
"111";"MG1_d11_TT3_6.t";"Day 3";"Within";17,05895896
"112";"MG1_d11_TT3_8.t";"Day 3";"Within";33,40856747
"113";"MG1_d11_TT3_9.t";"Day 3";"Within";29,33144999
"114";"AK74_CA1_d1_TT4_05.t";"Day 1";"Within";16,42645791
"115";"AK74_CA1_d2_TT4_01.t";"Day 2";"Within";23,82215793
"116";"AK74_CA1_d2_TT4_03.t";"Day 2";"Within";13,56634913
"117";"AK74_CA1_d2_TT4_04.t";"Day 2";"Within";24,69459314
"118";"JJ9_CA1_d3_TT5_05.t";"Day 3";"Within";54,0804629
"119";"JJ9_CA1_d3_TT5_06.t";"Day 3";"Within";114,7498419
"120";"MG1_d6_TT3_12.t";"Day 1";"Within";19,74347338
"121";"MG1_d7_TT3_10.t";"Day 2";"Within";16,65112906
"122";"MG1_d7_TT3_2.t";"Day 2";"Within";29,19055093
"123";"MG1_d7_TT3_5.t";"Day 2";"Within";26,58942705
"124";"MG1_d11_TT3_1.t";"Day 3";"Within";22,79012955
"125";"MG1_d11_TT3_3.t";"Day 3";"Within";19,02303107
"126";"MG1_d11_TT3_5.t";"Day 3";"Within";8,719498787
"127";"AK42_CA1_d7_TT2_02.t";"Day 1";"Across";44,06285834
"128";"AK42_CA1_d7_TT2_03.t";"Day 1";"Across";9,614607552
"129";"AK42_CA1_d7_TT2_04.t";"Day 1";"Across";12,23882021
"130";"AK42_CA1_d7_TT2_05.t";"Day 1";"Across";29,07238764
"131";"AK42_CA1_d7_TT4_03.t";"Day 1";"Across";19,55348239
"132";"AK42_CA1_d7_TT4_04.t";"Day 1";"Across";20,46639711
"133";"AK42_CA1_d7_TT5_01.t";"Day 1";"Across";47,0831897
"134";"AK42_CA1_d7_TT5_02.t";"Day 1";"Across";52,8921514
"135";"AK42_CA1_d7_TT5_03.t";"Day 1";"Across";52,0784045
"136";"AK42_CA1_d7_TT5_04.t";"Day 1";"Across";78,89939713
"137";"AK42_CA1_d7_TT5_05.t";"Day 1";"Across";48,25483569
"138";"AK42_CA1_d8_TT2_03.t";"Day 2";"Across";11,68323752
"139";"AK42_CA1_d8_TT2_04.t";"Day 2";"Across";47,97374307
"140";"AK42_CA1_d8_TT2_05.t";"Day 2";"Across";41,68865722
"141";"AK42_CA1_d8_TT5_01.t";"Day 2";"Across";40,42955569
"142";"AK42_CA1_d8_TT5_02.t";"Day 2";"Across";50,47082768
"143";"AK42_CA1_d8_TT5_03.t";"Day 2";"Across";19,45433669
"144";"AK42_CA1_d8_TT5_04.t";"Day 2";"Across";22,49301261
"145";"AK42_CA1_d9_TT2_01.t";"Day 3";"Across";47,52109495
"146";"AK42_CA1_d9_TT2_02.t";"Day 3";"Across";66,50593414
"147";"AK42_CA1_d9_TT2_03.t";"Day 3";"Across";14,84717559
"148";"AK42_CA1_d9_TT4_01.t";"Day 3";"Across";70,65282482
"149";"AK42_CA1_d9_TT4_02.t";"Day 3";"Across";23,5201999
"150";"AK42_CA1_d9_TT4_05.t";"Day 3";"Across";28,43377458
"151";"AK42_CA1_d9_TT5_01.t";"Day 3";"Across";43,62631518
"152";"AK42_CA1_d9_TT5_02.t";"Day 3";"Across";20,68648444
"153";"AK42_CA1_d9_TT5_03.t";"Day 3";"Across";18,21321519
"154";"AK42_CA1_d9_TT5_04.t";"Day 3";"Across";38,41691489
"155";"AK42_CA1_d9_TT5_05.t";"Day 3";"Across";21,4101866
"156";"AK74_CA1_d1_TT4_02.t";"Day 1";"Across";11,84846685
"157";"AK74_CA1_d1_TT4_06.t";"Day 1";"Across";23,81966431
"158";"AK74_CA1_d2_TT4_02.t";"Day 2";"Across";54,09277885
"159";"AK74_CA1_d2_TT4_06.t";"Day 2";"Across";NA
"160";"AK74_CA1_d3_TT4_01.t";"Day 3";"Across";10,03401772
"161";"AK74_CA1_d3_TT4_02.t";"Day 3";"Across";34,22356998
"162";"AK74_CA1_d3_TT4_04.t";"Day 3";"Across";15,50997635
"163";"AK74_CA1_d3_TT4_07.t";"Day 3";"Across";21,26937189
"164";"AK74_CA1_d3_TT4_08.t";"Day 3";"Across";12,17318821
"165";"JJ9_CA1_d1_TT2_06.t";"Day 1";"Across";12,95168703
"166";"JJ9_CA1_d1_TT5_02.t";"Day 1";"Across";8,768772706
"167";"JJ9_CA1_d1_TT5_03.t";"Day 1";"Across";47,43774244
"168";"JJ9_CA1_d1_TT5_04.t";"Day 1";"Across";86,86753448
"169";"JJ9_CA1_d1_TT5_05.t";"Day 1";"Across";44,74484638
"170";"JJ9_CA1_d1_TT5_06.t";"Day 1";"Across";42,63448136
"171";"JJ9_CA1_d2_TT2_01.t";"Day 2";"Across";52,69281252
"172";"JJ9_CA1_d2_TT2_02.t";"Day 2";"Across";45,72474366
"173";"JJ9_CA1_d2_TT2_03.t";"Day 2";"Across";41,04542163
"174";"JJ9_CA1_d2_TT2_04.t";"Day 2";"Across";9,234946994
"175";"JJ9_CA1_d2_TT2_05.t";"Day 2";"Across";37,13381326
"176";"JJ9_CA1_d2_TT5_01.t";"Day 2";"Across";147,587399
"177";"JJ9_CA1_d2_TT5_02.t";"Day 2";"Across";65,22909587
"178";"JJ9_CA1_d2_TT5_03.t";"Day 2";"Across";115,3238474
"179";"JJ9_CA1_d2_TT5_04.t";"Day 2";"Across";14,05188421
"180";"JJ9_CA1_d2_TT5_05.t";"Day 2";"Across";126,6083149
"181";"JJ9_CA1_d2_TT5_06.t";"Day 2";"Across";38,43106691
"182";"JJ9_CA1_d2_TT5_07.t";"Day 2";"Across";29,02365844
"183";"JJ9_CA1_d3_TT2_02.t";"Day 3";"Across";23,30982698
"184";"JJ9_CA1_d3_TT2_03.t";"Day 3";"Across";72,75195068
"185";"JJ9_CA1_d3_TT5_01.t";"Day 3";"Across";35,21132214
"186";"JJ9_CA1_d3_TT5_02.t";"Day 3";"Across";153,2805196
"187";"JJ9_CA1_d3_TT5_03.t";"Day 3";"Across";204,9300837
"188";"JJ9_CA1_d3_TT5_04.t";"Day 3";"Across";28,88924285
"189";"K1_CA1_d2_TT1_1.t";"Day 2";"Across";18,60885662
"190";"K1_CA1_d2_TT1_2.t";"Day 2";"Across";9,86224217
"191";"K1_CA1_d2_TT1_3.t";"Day 2";"Across";8,371539801
"192";"K1_CA1_d2_TT2_1.t";"Day 2";"Across";16,75929305
"193";"K1_CA1_d2_TT2_2.t";"Day 2";"Across";24,49622153
"194";"K1_CA1_d2_TT2_6.t";"Day 2";"Across";17,66158215
"195";"K1_CA1_d2_TT3_1.t";"Day 2";"Across";22,90149218
"196";"K1_CA1_d2_TT3_2.t";"Day 2";"Across";19,31429641
"197";"K1_CA1_d2_TT3_3.t";"Day 2";"Across";26,6273716
"198";"K1_CA1_d2_TT3_4.t";"Day 2";"Across";32,87565316
"199";"K1_CA1_d2_TT3_6.t";"Day 2";"Across";11,3315951
"200";"K1_CA1_d2_TT3_7.t";"Day 2";"Across";29,48093101
"201";"K1_CA1_d4_TT2_1.t";"Day 3";"Across";6,867116321
"202";"K1_CA1_d4_TT2_5.t";"Day 3";"Across";8,781105145
"203";"MG1_d6_TT3_1.t";"Day 1";"Across";22,32922132
"204";"MG1_d6_TT3_10.t";"Day 1";"Across";18,10911737
"205";"MG1_d6_TT3_11.t";"Day 1";"Across";54,57127604
"206";"MG1_d6_TT3_13.t";"Day 1";"Across";13,05552961
"207";"MG1_d6_TT3_2.t";"Day 1";"Across";48,34711569
"208";"MG1_d6_TT3_3.t";"Day 1";"Across";53,69504154
"209";"MG1_d6_TT3_4.t";"Day 1";"Across";8,421929496
"210";"MG1_d6_TT3_5.t";"Day 1";"Across";82,57949105
"211";"MG1_d6_TT3_6.t";"Day 1";"Across";53,60238305
"212";"MG1_d6_TT3_7.t";"Day 1";"Across";30,06173928
"213";"MG1_d6_TT3_8.t";"Day 1";"Across";80,41592627
"214";"MG1_d6_TT3_9.t";"Day 1";"Across";31,80759925
"215";"MG1_d7_TT3_1.t";"Day 2";"Across";38,15344171
"216";"MG1_d7_TT3_11.t";"Day 2";"Across";56,59046248
"217";"MG1_d7_TT3_12.t";"Day 2";"Across";5,741656603
"218";"MG1_d7_TT3_13.t";"Day 2";"Across";28,62877176
"219";"MG1_d7_TT3_14.t";"Day 2";"Across";20,92350178
"220";"MG1_d7_TT3_15.t";"Day 2";"Across";52,10342189
"221";"MG1_d7_TT3_17.t";"Day 2";"Across";8,509408621
"222";"MG1_d7_TT3_3.t";"Day 2";"Across";75,83873451
"223";"MG1_d7_TT3_4.t";"Day 2";"Across";69,37859232
"224";"MG1_d7_TT3_6.t";"Day 2";"Across";32,18666857
"225";"MG1_d7_TT3_7.t";"Day 2";"Across";10,96850737
"226";"MG1_d7_TT3_8.t";"Day 2";"Across";51,58802262
"227";"MG1_d7_TT3_9.t";"Day 2";"Across";50,47399994
"228";"MG1_d7_TT4_1.t";"Day 2";"Across";24,43245059
"229";"MG1_d11_TT2_1.t";"Day 3";"Across";31,80620749
"230";"MG1_d11_TT2_2.t";"Day 3";"Across";23,93764799
"231";"MG1_d11_TT3_10.t";"Day 3";"Across";12,1671624
"232";"MG1_d11_TT3_11.t";"Day 3";"Across";31,90492751
"233";"MG1_d11_TT3_12.t";"Day 3";"Across";16,76986962
"234";"MG1_d11_TT3_13.t";"Day 3";"Across";8,266799087
"235";"MG1_d11_TT3_2.t";"Day 3";"Across";27,84558653
"236";"MG1_d11_TT3_4.t";"Day 3";"Across";70,27867501
"237";"MG1_d11_TT3_6.t";"Day 3";"Across";14,88322543
"238";"MG1_d11_TT3_8.t";"Day 3";"Across";25,76080224
"239";"MG1_d11_TT3_9.t";"Day 3";"Across";25,57617888
"240";"AK74_CA1_d1_TT4_05.t";"Day 1";"Across";14,74408634
"241";"AK74_CA1_d2_TT4_01.t";"Day 2";"Across";58,7108785
"242";"AK74_CA1_d2_TT4_03.t";"Day 2";"Across";34,18756055
"243";"AK74_CA1_d2_TT4_04.t";"Day 2";"Across";52,21999706
"244";"JJ9_CA1_d3_TT5_05.t";"Day 3";"Across";41,15741501
"245";"JJ9_CA1_d3_TT5_06.t";"Day 3";"Across";89,72391155
"246";"MG1_d6_TT3_12.t";"Day 1";"Across";18,40357877
"247";"MG1_d7_TT3_10.t";"Day 2";"Across";13,58455608
"248";"MG1_d7_TT3_2.t";"Day 2";"Across";34,37635835
"249";"MG1_d7_TT3_5.t";"Day 2";"Across";38,45276795
"250";"MG1_d11_TT3_1.t";"Day 3";"Across";41,53167871
"251";"MG1_d11_TT3_3.t";"Day 3";"Across";22,58156121
"252";"MG1_d11_TT3_5.t";"Day 3";"Across";48,28835484
