"";"Id";"Score";"Decile"
"337";"33";0,603421175;"3"
"338";"34";0,795529915;"3"
"339";"35";0,714638724;"3"
"340";"36";0,789318693;"3"
"341";"37";0,809933183;"3"
"342";"38";0,473896128;"3"
"343";"39";0,819030948;"3"
"344";"40";0,596232944;"3"
"345";"41";0,751245895;"3"
"346";"42";0,581567004;"3"
"347";"43";0,860225601;"3"
"348";"44";0,857178484;"3"
"349";"45";0,644562409;"3"
"350";"46";0,689567721;"3"
"351";"47";0,702339101;"3"
"352";"48";0,92870452;"3"
"353";"49";0,373533026;"3"
"354";"50";0,598499447;"3"
"355";"51";0,774167579;"3"
"356";"52";0,782709417;"3"
"357";"53";0,736154805;"3"
"358";"54";0,68623621;"3"
"359";"55";0,785673694;"3"
"360";"56";0,775154128;"3"
"361";"57";0,548522415;"3"
"362";"58";0,560023788;"3"
"363";"59";0,82528218;"3"
"364";"60";0,309694055;"3"
"365";"61";0,62399757;"3"
"366";"62";0,765096589;"3"
"367";"63";0,618250864;"3"
"368";"64";0,309694055;"3"
"369";"65";0,721689544;"3"
"370";"66";0,540015227;"3"
"371";"67";0,534703348;"3"
"372";"68";0,885693076;"3"
"373";"69";0,517963997;"3"
"374";"70";0,733495577;"3"
"375";"71";0,570788477;"3"
"376";"72";0,389403288;"3"
"377";"73";0,261569373;"3"
"378";"74";0,500758293;"3"
"379";"75";0,532096215;"3"
"380";"76";0,512775;"3"
"381";"77";0,500713103;"3"
"382";"78";0,885726791;"3"
"383";"79";0,583344152;"3"
"384";"80";0,491423422;"3"
"385";"81";0,898186702;"3"
"386";"82";0,447562952;"3"
"387";"83";0,443128629;"3"
"388";"84";0,896905721;"3"
"389";"85";0,627100485;"3"
"390";"86";0,728322781;"3"
"391";"87";0,522090553;"3"
"392";"88";0,567004539;"3"
"393";"89";0,555173291;"3"
"394";"90";0,628353599;"3"
"395";"91";0,62318046;"3"
"396";"92";0,747347025;"3"
"397";"93";0,923995298;"3"
"398";"94";0,788158547;"3"
"399";"95";0,892079354;"3"
"400";"96";0,792889323;"3"
"401";"97";0,74299875;"3"
"402";"98";0,675761553;"3"
"403";"99";0,559133781;"3"
"404";"100";0,797275355;"3"
"405";"101";0,635144992;"3"
"406";"102";0,636879661;"3"
"407";"103";0,549029731;"3"
"408";"104";0,890938708;"3"
"409";"105";0,796324585;"3"
"410";"106";0,792889323;"3"
"411";"107";0,668799242;"3"
"412";"108";0,796060775;"3"
"413";"109";0,463198642;"3"
"414";"110";0,592621739;"3"
"415";"111";0,836160588;"3"
"416";"112";0,75120382;"3"
"417";"113";0,797275355;"3"
"418";"114";0,541117633;"3"
"419";"115";0,81701204;"3"
"420";"116";0,707816982;"3"
"421";"117";0,801015768;"3"
"422";"118";0,836948905;"3"
"423";"119";0,865659603;"3"
"424";"120";0,636571843;"3"
"425";"121";0,796060775;"3"
"426";"122";0,496440321;"3"
"427";"123";0,890938708;"3"
"428";"124";0,820692456;"3"
"429";"125";0,834443205;"3"
"430";"126";0,636571843;"3"
"431";"127";0,728693125;"3"
"432";"128";0,834532802;"3"
"433";"129";0,796894398;"3"
"434";"130";0,833940104;"3"
"435";"131";0,686360269;"3"
"436";"132";0,641933781;"3"
"437";"133";0,610619753;"3"
"438";"1";0,358974977;"4"
"439";"2";0,739965324;"4"
"440";"3";0,702266695;"4"
