"";"CellType";"Day";"Corr"
"303";"FI";"Day 1";0,919658634
"304";"FI";"Day 1";0,910543993
"305";"FI";"Day 1";0,897559249
"306";"FI";"Day 1";0,881513148
"307";"FI";"Day 1";0,862578136
"308";"FI";"Day 1";0,840247002
"309";"FI";"Day 1";0,813175618
"310";"FI";"Day 1";0,781570349
"311";"FI";"Day 1";0,764067246
"312";"FI";"Day 1";0,804027751
"313";"FI";"Day 1";0,838952669
"314";"FI";"Day 1";0,867803959
"315";"FI";"Day 1";0,889606567
"316";"FI";"Day 1";0,904631194
"317";"FI";"Day 1";0,91336734
"318";"FI";"Day 1";0,916825445
"319";"FI";"Day 1";0,916194434
"320";"FI";"Day 1";0,912159243
"321";"FI";"Day 1";0,906405537
"322";"FI";"Day 1";0,901419763
"323";"FI";"Day 1";0,89776953
"324";"FI";"Day 1";0,894918058
"325";"FI";"Day 1";0,892249473
"326";"FI";"Day 1";0,890420308
"327";"FI";"Day 1";0,890115483
"328";"FI";"Day 1";0,89333624
"329";"FI";"Day 1";0,899614748
"330";"FI";"Day 1";0,907621187
"331";"FI";"Day 1";0,91546951
"332";"FI";"Day 1";0,920862681
"333";"FI";"Day 1";0,921291311
"334";"FI";"Day 1";0,916415104
"335";"FI";"Day 1";0,907196783
"336";"FI";"Day 1";0,894779188
"337";"FI";"Day 1";0,879429418
"338";"FI";"Day 1";0,861220873
"339";"FI";"Day 1";0,839661153
"340";"FI";"Day 1";0,813703651
"341";"FI";"Day 1";0,783682372
"342";"FI";"Day 1";0,750968298
"343";"FI";"Day 1";0,79366832
"344";"FI";"Day 1";0,832065038
"345";"FI";"Day 1";0,86415639
"346";"FI";"Day 1";0,888643908
"347";"FI";"Day 1";0,905345512
"348";"FI";"Day 1";0,914677431
"349";"FI";"Day 1";0,91779146
"350";"FI";"Day 1";0,916244066
"351";"FI";"Day 1";0,911397962
"352";"FI";"Day 1";0,905045114
"353";"FI";"Day 1";0,899630744
"354";"FI";"Day 1";0,895412499
"355";"FI";"Day 1";0,891700582
"356";"FI";"Day 1";0,888885556
"357";"FI";"Day 1";0,887829653
"358";"FI";"Day 1";0,888906634
"359";"FI";"Day 1";0,893332794
"360";"FI";"Day 1";0,899808327
"361";"FI";"Day 1";0,906867676
"362";"FI";"Day 1";0,912838392
"363";"FI";"Day 1";0,916094644
"364";"FI";"Day 1";0,91525061
"365";"FI";"Day 1";0,910363117
"366";"FI";"Day 1";0,90247636
"367";"FI";"Day 1";0,892217695
"368";"FI";"Day 1";0,879261094
"369";"FI";"Day 1";0,863368767
"370";"FI";"Day 1";0,843753945
"371";"FI";"Day 1";0,819632023
"372";"FI";"Day 1";0,791135115
"373";"FI";"Day 1";0,732613398
"374";"FI";"Day 1";0,779580157
"375";"FI";"Day 1";0,822479151
"376";"FI";"Day 1";0,858505783
"377";"FI";"Day 1";0,886067227
"378";"FI";"Day 1";0,904745167
"379";"FI";"Day 1";0,915059168
"380";"FI";"Day 1";0,918201126
"381";"FI";"Day 1";0,915945823
"382";"FI";"Day 1";0,910255597
"383";"FI";"Day 1";0,903035819
"384";"FI";"Day 1";0,897141058
"385";"FI";"Day 1";0,892358749
"386";"FI";"Day 1";0,88784899
"387";"FI";"Day 1";0,88473429
"388";"FI";"Day 1";0,883874468
"389";"FI";"Day 1";0,885515205
"390";"FI";"Day 1";0,890411888
"391";"FI";"Day 1";0,896595258
"392";"FI";"Day 1";0,902680625
"393";"FI";"Day 1";0,907286509
"394";"FI";"Day 1";0,909395717
"395";"FI";"Day 1";0,908541465
"396";"FI";"Day 1";0,904832499
"397";"FI";"Day 1";0,8992638
"398";"FI";"Day 1";0,891745069
"399";"FI";"Day 1";0,881370936
"400";"FI";"Day 1";0,867442029
"401";"FI";"Day 1";0,848737925
"402";"FI";"Day 1";0,824731516
"403";"FI";"Day 1";0,795093748
"404";"FI";"Day 1";0,716121438
"405";"FI";"Day 1";0,766631962
"406";"FI";"Day 1";0,812763146
"407";"FI";"Day 1";0,851269213
"408";"FI";"Day 1";0,880641762
"409";"FI";"Day 1";0,900640391
"410";"FI";"Day 1";0,912083124
"411";"FI";"Day 1";0,91596464
"412";"FI";"Day 1";0,913759766
"413";"FI";"Day 1";0,907625157
"414";"FI";"Day 1";0,899548336
"415";"FI";"Day 1";0,893332673
"416";"FI";"Day 1";0,888359494
"417";"FI";"Day 1";0,883676437
"418";"FI";"Day 1";0,880675468
"419";"FI";"Day 1";0,880032641
"420";"FI";"Day 1";0,881925486
"421";"FI";"Day 1";0,886835701
"422";"FI";"Day 1";0,892344242
"423";"FI";"Day 1";0,897217382
"424";"FI";"Day 1";0,900364991
"425";"FI";"Day 1";0,901495918
"426";"FI";"Day 1";0,90092978
"427";"FI";"Day 1";0,898686579
"428";"FI";"Day 1";0,895617569
"429";"FI";"Day 1";0,890666574
"430";"FI";"Day 1";0,882199093
"431";"FI";"Day 1";0,868765199
"432";"FI";"Day 1";0,848615708
"433";"FI";"Day 1";0,821411489
"434";"FI";"Day 1";0,786493256
"435";"FI";"Day 1";0,708319076
"436";"FI";"Day 1";0,760014651
"437";"FI";"Day 1";0,806209293
"438";"FI";"Day 1";0,843741823
"439";"FI";"Day 1";0,871738316
"440";"FI";"Day 1";0,890810731
"441";"FI";"Day 1";0,902425273
"442";"FI";"Day 1";0,907250323
"443";"FI";"Day 1";0,905939924
"444";"FI";"Day 1";0,900190696
"445";"FI";"Day 1";0,891838825
"446";"FI";"Day 1";0,885943171
"447";"FI";"Day 1";0,881646042
"448";"FI";"Day 1";0,877823166
"449";"FI";"Day 1";0,875706474
"450";"FI";"Day 1";0,875634339
"451";"FI";"Day 1";0,877818181
"452";"FI";"Day 1";0,882461143
"453";"FI";"Day 1";0,887039245
"454";"FI";"Day 1";0,890598811
"455";"FI";"Day 1";0,892361148
"456";"FI";"Day 1";0,892780725
"457";"FI";"Day 1";0,892687255
"458";"FI";"Day 1";0,891801977
"459";"FI";"Day 1";0,890633655
"460";"FI";"Day 1";0,887048779
"461";"FI";"Day 1";0,878675276
"462";"FI";"Day 1";0,863280042
"463";"FI";"Day 1";0,83881617
"464";"FI";"Day 1";0,805295803
"465";"FI";"Day 1";0,762289439
"466";"FI";"Day 1";0,708362543
"467";"FI";"Day 1";0,758796661
"468";"FI";"Day 1";0,802011295
"469";"FI";"Day 1";0,835328062
"470";"FI";"Day 1";0,858943625
"471";"FI";"Day 1";0,874764664
"472";"FI";"Day 1";0,885173657
"473";"FI";"Day 1";0,89058693
"474";"FI";"Day 1";0,890621691
"475";"FI";"Day 1";0,885994644
"476";"FI";"Day 1";0,878035309
"477";"FI";"Day 1";0,873009798
"478";"FI";"Day 1";0,870122158
"479";"FI";"Day 1";0,868020476
"480";"FI";"Day 1";0,867500346
"481";"FI";"Day 1";0,868441863
"482";"FI";"Day 1";0,871108534
"483";"FI";"Day 1";0,875357351
"484";"FI";"Day 1";0,878854036
"485";"FI";"Day 1";0,880975533
"486";"FI";"Day 1";0,881394093
"487";"FI";"Day 1";0,881373172
"488";"FI";"Day 1";0,881874167
"489";"FI";"Day 1";0,882049322
"490";"FI";"Day 1";0,881767359
"491";"FI";"Day 1";0,877831279
"492";"FI";"Day 1";0,867314892
"493";"FI";"Day 1";0,847525116
"494";"FI";"Day 1";0,816706382
"495";"FI";"Day 1";0,775675441
"496";"FI";"Day 1";0,72485859
"497";"FI";"Day 1";0,70992076
"498";"FI";"Day 1";0,757608844
"499";"FI";"Day 1";0,796158294
"500";"FI";"Day 1";0,823667287
"501";"FI";"Day 1";0,841528955
"502";"FI";"Day 1";0,853003648
"503";"FI";"Day 1";0,861350018
"504";"FI";"Day 1";0,866797396
"505";"FI";"Day 1";0,86803598
"506";"FI";"Day 1";0,864691263
"507";"FI";"Day 1";0,857439192
"508";"FI";"Day 1";0,853461694
"509";"FI";"Day 1";0,852307288
"510";"FI";"Day 1";0,852239644
"511";"FI";"Day 1";0,853512261
"512";"FI";"Day 1";0,855547592
"513";"FI";"Day 1";0,858849602
"514";"FI";"Day 1";0,862972567
"515";"FI";"Day 1";0,865841958
"516";"FI";"Day 1";0,866915803
"517";"FI";"Day 1";0,866324062
"518";"FI";"Day 1";0,866144236
"519";"FI";"Day 1";0,867138502
"520";"FI";"Day 1";0,867732052
"521";"FI";"Day 1";0,866974699
"522";"FI";"Day 1";0,860844326
"523";"FI";"Day 1";0,846307373
"524";"FI";"Day 1";0,82081463
"525";"FI";"Day 1";0,783575496
"526";"FI";"Day 1";0,73656913
"527";"FI";"Day 1";0,681146071
"528";"FI";"Day 1";0,704749401
"529";"FI";"Day 1";0,7499521
"530";"FI";"Day 1";0,784274554
"531";"FI";"Day 1";0,806696652
"532";"FI";"Day 1";0,819624543
"533";"FI";"Day 1";0,827361791
"534";"FI";"Day 1";0,833753992
"535";"FI";"Day 1";0,838862059
"536";"FI";"Day 1";0,840743655
"537";"FI";"Day 1";0,838225694
"538";"FI";"Day 1";0,831387724
"539";"FI";"Day 1";0,828011418
"540";"FI";"Day 1";0,828202027
"541";"FI";"Day 1";0,829809441
"542";"FI";"Day 1";0,832511681
"543";"FI";"Day 1";0,835416974
"544";"FI";"Day 1";0,839407291
"545";"FI";"Day 1";0,843842624
"546";"FI";"Day 1";0,846773257
"547";"FI";"Day 1";0,847336093
"548";"FI";"Day 1";0,846077057
"549";"FI";"Day 1";0,845922387
"550";"FI";"Day 1";0,847271391
"551";"FI";"Day 1";0,847750804
"552";"FI";"Day 1";0,845463286
"553";"FI";"Day 1";0,835851995
"554";"FI";"Day 1";0,816331678
"555";"FI";"Day 1";0,785184141
"556";"FI";"Day 1";0,7431017
"557";"FI";"Day 1";0,693238754
"558";"FI";"Day 1";0,637406185
"559";"FI";"Day 1";0,685439767
"560";"FI";"Day 1";0,730154674
"561";"FI";"Day 1";0,762696781
"562";"FI";"Day 1";0,782784016
"563";"FI";"Day 1";0,793375509
"564";"FI";"Day 1";0,799388993
"565";"FI";"Day 1";0,804879225
"566";"FI";"Day 1";0,809681083
"567";"FI";"Day 1";0,811473949
"568";"FI";"Day 1";0,808757545
"569";"FI";"Day 1";0,801345674
"570";"FI";"Day 1";0,797587143
"571";"FI";"Day 1";0,798288117
"572";"FI";"Day 1";0,800805889
"573";"FI";"Day 1";0,804182054
"574";"FI";"Day 1";0,807453181
"575";"FI";"Day 1";0,812099045
"576";"FI";"Day 1";0,817446029
"577";"FI";"Day 1";0,821393802
"578";"FI";"Day 1";0,822321546
"579";"FI";"Day 1";0,821026051
"580";"FI";"Day 1";0,821290685
"581";"FI";"Day 1";0,823147522
"582";"FI";"Day 1";0,823440584
"583";"FI";"Day 1";0,819223743
"584";"FI";"Day 1";0,805645741
"585";"FI";"Day 1";0,781078065
"586";"FI";"Day 1";0,745256828
"587";"FI";"Day 1";0,70058517
"588";"FI";"Day 1";0,651127582
"589";"FI";"Day 1";0,598485779
"590";"FI";"Day 1";0,649457192
"591";"FI";"Day 1";0,695990741
"592";"FI";"Day 1";0,729665747
"593";"FI";"Day 1";0,750500635
"594";"FI";"Day 1";0,76151291
"595";"FI";"Day 1";0,767927687
"596";"FI";"Day 1";0,773841455
"597";"FI";"Day 1";0,77900653
"598";"FI";"Day 1";0,780984901
"599";"FI";"Day 1";0,778137732
"600";"FI";"Day 1";0,76992191
"601";"FI";"Day 1";0,764973067
"602";"FI";"Day 1";0,764849161
"603";"FI";"Day 1";0,76684617
"604";"FI";"Day 1";0,769698964
"605";"FI";"Day 1";0,772714099
"606";"FI";"Day 1";0,777916535
"607";"FI";"Day 1";0,784591536
"608";"FI";"Day 1";0,790227722
"609";"FI";"Day 1";0,792210904
"610";"FI";"Day 1";0,791400451
"611";"FI";"Day 1";0,792342503
"612";"FI";"Day 1";0,794905864
"613";"FI";"Day 1";0,795266836
"614";"FI";"Day 1";0,78935191
"615";"FI";"Day 1";0,772142927
"616";"FI";"Day 1";0,743368737
"617";"FI";"Day 1";0,704614501
"618";"FI";"Day 1";0,659879047
"619";"FI";"Day 1";0,613636436
"620";"FI";"Day 1";0,566676686
"621";"FI";"Day 1";0,599139168
"622";"FI";"Day 1";0,648809564
"623";"FI";"Day 1";0,685777329
"624";"FI";"Day 1";0,70974429
"625";"FI";"Day 1";0,723297297
"626";"FI";"Day 1";0,731753265
"627";"FI";"Day 1";0,739230482
"628";"FI";"Day 1";0,74555921
"629";"FI";"Day 1";0,748275685
"630";"FI";"Day 1";0,74557191
"631";"FI";"Day 1";0,736370455
"632";"FI";"Day 1";0,729494304
"633";"FI";"Day 1";0,727480992
"634";"FI";"Day 1";0,727743131
"635";"FI";"Day 1";0,72910999
"636";"FI";"Day 1";0,731527603
"637";"FI";"Day 1";0,737289937
"638";"FI";"Day 1";0,74565096
"639";"FI";"Day 1";0,753520007
"640";"FI";"Day 1";0,757218069
"641";"FI";"Day 1";0,757400669
"642";"FI";"Day 1";0,759183536
"643";"FI";"Day 1";0,762598033
"644";"FI";"Day 1";0,763428575
"645";"FI";"Day 1";0,756453126
"646";"FI";"Day 1";0,736396175
"647";"FI";"Day 1";0,704502109
"648";"FI";"Day 1";0,664320094
"649";"FI";"Day 1";0,621255971
"650";"FI";"Day 1";0,579767972
"651";"FI";"Day 1";0,539671505
"652";"FI";"Day 2";0,464151531
"653";"FI";"Day 2";0,501441767
"654";"FI";"Day 2";0,537824256
"655";"FI";"Day 2";0,574212689
"656";"FI";"Day 2";0,610530481
"657";"FI";"Day 2";0,64541549
"658";"FI";"Day 2";0,678418458
"659";"FI";"Day 2";0,709131924
"660";"FI";"Day 2";0,735299919
"661";"FI";"Day 2";0,750977503
"662";"FI";"Day 2";0,753723862
"663";"FI";"Day 2";0,747711369
"664";"FI";"Day 2";0,741342911
"665";"FI";"Day 2";0,74169697
"666";"FI";"Day 2";0,748869936
"667";"FI";"Day 2";0,75970622
"668";"FI";"Day 2";0,770416448
"669";"FI";"Day 2";0,779027636
"670";"FI";"Day 2";0,783748548
"671";"FI";"Day 2";0,785240073
"672";"FI";"Day 2";0,785051784
"673";"FI";"Day 2";0,785663158
"674";"FI";"Day 2";0,782427714
"675";"FI";"Day 2";0,773817528
"676";"FI";"Day 2";0,758804443
"677";"FI";"Day 2";0,738664975
"678";"FI";"Day 2";0,714176822
"679";"FI";"Day 2";0,68508921
"680";"FI";"Day 2";0,650702828
"681";"FI";"Day 2";0,607936604
"682";"FI";"Day 2";0,558595919
"683";"FI";"Day 2";0,528299131
"684";"FI";"Day 2";0,56862108
"685";"FI";"Day 2";0,606033411
"686";"FI";"Day 2";0,641386731
"687";"FI";"Day 2";0,674480712
"688";"FI";"Day 2";0,704431932
"689";"FI";"Day 2";0,731478126
"690";"FI";"Day 2";0,756121899
"691";"FI";"Day 2";0,777282547
"692";"FI";"Day 2";0,790147622
"693";"FI";"Day 2";0,792299205
"694";"FI";"Day 2";0,786502247
"695";"FI";"Day 2";0,779493943
"696";"FI";"Day 2";0,777898424
"697";"FI";"Day 2";0,78229986
"698";"FI";"Day 2";0,79076074
"699";"FI";"Day 2";0,799972287
"700";"FI";"Day 2";0,80809331
"701";"FI";"Day 2";0,813324097
"702";"FI";"Day 2";0,816162045
"703";"FI";"Day 2";0,817644743
"704";"FI";"Day 2";0,820146418
"705";"FI";"Day 2";0,819225679
"706";"FI";"Day 2";0,812499178
"707";"FI";"Day 2";0,798574083
